Transaction Name,Transaction Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Number of Investors,Number of Funding Rounds,Organization Description,Organization Industries,Organization Location,Organization Revenue Range,Organization Website,Organization Name,Organization Name URL,Investor Names
Seed Round - TaxNodes,https://www.crunchbase.com/funding_round/taxnodes-seed--6bc5ced9,Seed,131000000,INR,1594975,2023-06-14,4,1,TaxNodes is crypto tax computation and expert-assisted ITR filing startup.,,"Bengaluru, Karnataka, India, Asia",,https://www.taxnodes.com/,TaxNodes,https://www.crunchbase.com/organization/taxnodes,"Ajeet Khurana, Ashish Singhal, Nischal Shetty, Rahul Pagidipati"
Pre Seed Round - Arda Biomaterials,https://www.crunchbase.com/funding_round/arda-biomaterials-pre-seed--306496af,Pre-Seed,1100000,GBP,1384837,2023-06-12,4,1,"Arda Biomaterials transforms waste feedstocks into smarter, circular biomaterials for fashion, home goods, automotive and more.",Fashion,"Southwark, Southwark, United Kingdom, Europe",,https://www.arda.bio,Arda Biomaterials,https://www.crunchbase.com/organization/arda-biomaterials,"Clean Growth Fund, Plug and Play, Satgana, Serpentine Ventures"
Seed Round - tem.,https://www.crunchbase.com/funding_round/tem-9f9a-seed--65417071,Seed,2500000,GBP,3147358,2023-06-12,3,2,tem. allows businesses to save on energy costs whilst renewable generators are rewarded. tem. use Renewable Energy Direct.,"Energy, Energy Efficiency, Energy Management, Industrial Manufacturing, Renewable Energy","London, England, United Kingdom, Europe",,https://www.tem.energy/,tem.,https://www.crunchbase.com/organization/tem-9f9a,"AlbionVC, Christian Deger, Revent"
Seed Round - Haul247,https://www.crunchbase.com/funding_round/haul247-seed--06490d29,Seed,3000000,USD,3000000,2023-06-08,1,3,Haul247 is an API platform that connects businesses to logistics assets.,"Information Technology, Logistics, Mobile Apps, Software, Warehousing","Lagos, Lagos, Nigeria, Africa",,https://www.haul247.co,Haul247,https://www.crunchbase.com/organization/haul247,Alitheia Capital
Seed Round - PLOT Communications,https://www.crunchbase.com/funding_round/plot-communications-inc-seed--b461ef08,Seed,2000000,USD,2000000,2023-06-05,7,2,PLOT Communications provides SaaS applications for people.,"Construction, SaaS, Software","Wichita, Kansas, United States, North America",,https://www.getplot.com,PLOT Communications,https://www.crunchbase.com/organization/plot-communications-inc,"GroundBreak Ventures, GROWKS, Iron Prairie Ventures, KCRise Fund, Koch Industries, Network Kansas, Suffolk Technologies"
Seed Round - Finfra,https://www.crunchbase.com/funding_round/finfra-3a02-seed--56f70cf4,Seed,1000000,USD,1000000,2023-06-14,7,1,Embedded lending infrastructure,"Embedded Systems, FinTech, Information Technology","Jakatra, Jakarta Raya, Indonesia, Asia",,https://www.finfra.io,Finfra,https://www.crunchbase.com/organization/finfra-3a02,"BADideas.fund, Cento Ventures, DS/X Ventures, Fintech Nation, FIRSTPICK, Hustle Fund, Seedstars"
Seed Round - ZapScale,https://www.crunchbase.com/funding_round/zapscale-seed--8118042c,Seed,2500000,USD,2500000,2023-06-12,6,1,ZapScale is a business to business SaaS customer success platform.,"B2B, SaaS, Software","Wilmington, Delaware, United States, North America",,https://zapscale.com/,ZapScale,https://www.crunchbase.com/organization/zapscale,"100x Entrepreneur, Arka Venture Labs, Blume Ventures, Java Capital, T2D3 Capital, Veda VC"
Seed Round - Koparo Clean,https://www.crunchbase.com/funding_round/koparo-clean-seed--c41ddb96,Seed,1500000,USD,1500000,2023-06-06,7,2,Koparo Clean is a sustainable home and personal hygiene D2C brand.,"Consumer, Consumer Goods, E-Commerce","Delhi, Delhi, India, Asia",,https://koparoclean.com/,Koparo Clean,https://www.crunchbase.com/organization/koparo-clean,"DSG Consumer Partners, Fluid Ventures, M Venture Partners (MVP), Rajesh Sawhney, Ramesh Menon, Saama Capital, Sridhar Sankararaman"
Seed Round - BoomFi,https://www.crunchbase.com/funding_round/boomfi-seed--862548fd,Seed,3800000,USD,3800000,2023-06-13,10,1,"All-in-one solution to send, accept and convert crypto payments. Fast multi-chain crypto and fiat settlement.","Blockchain, FinTech, Information Technology, Payments","London, England, United Kingdom, Europe",,https://www.boomfi.xyz/,BoomFi,https://www.crunchbase.com/organization/boomfi,"Aquanow, Blockchain Founders Fund, GSR, Kraken Ventures, Mantle Network, Passion Capital, Ramp, The Giving Block, Transak, White Star Capital"
Seed Round - Keep Aware,https://www.crunchbase.com/funding_round/keep-aware-seed--d2adc945,Seed,2400000,USD,2400000,2023-06-06,2,1,Keep Aware’s human-centric solution is a proactive and flexible approach to browser security.,Network Security,"Austin, Texas, United States, North America",,https://keepaware.com/,Keep Aware,https://www.crunchbase.com/organization/keep-aware,"LiveOak Venture Partners, Runtime Ventures"
Seed Round - Taiko Labs,https://www.crunchbase.com/funding_round/taiko-labs-seed--8e100b5d,Seed,12000000,USD,12000000,2023-06-08,14,3,Taiko Labs is a cryptocurrency firm that aims to scale the Ethereum blockchain.,"Blockchain, Ethereum, Service Industry","Bay City, Michigan, United States, North America",,https://taiko.xyz,Taiko Labs,https://www.crunchbase.com/organization/taiko-labs,"Antalpha, BAI capital, Generative Ventures Network, GGV Capital, GSR, IOSG Ventures, KuCoin Ventures, Mirana Ventures, OKX Ventures, Patricio Worthalter, Skyland Ventures, Tim Beiko, Token Bay Capital, Yunqi Partners"
Seed Round - Connext Labs,https://www.crunchbase.com/funding_round/connext-labs-seed--ad7f2400,Seed,7500000,USD,7500000,2023-06-14,15,1,Connext Labs is a modular interoperability protocol that builds secure cross-chain apps for transferring funds and data,"Data Center, Enterprise Software, FinTech, Mobile Apps, Software, Software Engineering","San Francisco, California, United States, North America",,https://www.connext.network,Connext Labs,https://www.crunchbase.com/organization/connext-labs,"1kx, A.Capital Ventures, Coinbase Ventures, Dokia Capital, Ethereal Ventures, Factor, Fenbushi Capital, Hashed, IOSG Ventures, KXVC, NGC Ventures, NoLimit Holdings, Polychain, Polygon Ventures, Scalar Capital"
Seed Round - Spektra Games,https://www.crunchbase.com/funding_round/spektra-games-seed--feda5e81,Seed,1250000,USD,1250000,2023-06-05,3,1,We create the most realistic simulation/racing games for mobile!,"Casual Games, Gaming","Istanbul, Istanbul, Turkey, Europe",,https://spektra.games/,Spektra Games,https://www.crunchbase.com/organization/spektra-games,"Alfa Games Partners, Ludus, The Games Fund"
Seed Round - Kilde,https://www.crunchbase.com/funding_round/kilde-financial-technologies-seed--34cc7e24,Seed,1115000,USD,1115000,2023-06-05,4,4,Hands-off regular income investments earning you 10-13% per year,"Financial Services, FinTech, Funding Platform, Lending","Singapore, Central Region, Singapore, Asia",,https://kilde.sg/,Kilde,https://www.crunchbase.com/organization/kilde-financial-technologies,"Algorand Foundation, AXL Ventures, Big Sky Capital VC, Borderless Capital"
Pre Seed Round - Ironforge,https://www.crunchbase.com/funding_round/ironforge-pre-seed--62622d7d,Pre-Seed,2600000,USD,2600000,2023-06-12,6,1,A serverless Solana development platform.,,,,https://www.ironforge.cloud/,Ironforge,https://www.crunchbase.com/organization/ironforge,"6th Man Ventures, Alchemy, Hash3, Monoceros Ventures, Portage Ventures, Reciprocal Ventures"
Seed Round - TradingLeagues,https://www.crunchbase.com/funding_round/tradingleagues-seed--7dd2bf54,Seed,3500000,USD,3500000,2023-06-07,3,1,"TradingLeagues, is a stock market game platform providing different types of games. You can practice trading by playing stock market games.","Education, Finance, Online Games","Bangalore, Karnataka, India, Asia",,https://www.tradingleagues.in/,TradingLeagues,https://www.crunchbase.com/organization/tradingleagues,"Jeejeebhoy Family Office, KPB Family Trust, Leo Capital"
Seed Round - Portal Gate,https://www.crunchbase.com/funding_round/portal-gate-seed--2bd31527,Seed,1100000,USD,1100000,2023-06-19,7,1,Portal Gate operates as a compliant on-chain gateway to privacy and anonymity.,Financial Services,,,https://www.portalgate.me/,Portal Gate,https://www.crunchbase.com/organization/portal-gate,"Apollo Crypto, Comma3 Ventures, Fork Ventures, Gandel Invest, Greythorn, Rebase D. Ventures, Upside"
Seed Round - Angsa Robotics,https://www.crunchbase.com/funding_round/angsa-robotics-seed--9a33c6d4,Seed,2500000,EUR,2697625,2023-06-14,1,1,Angsa Robotics one-of-a-kind system for automating rubbish collection in green environments.,"Artificial Intelligence, Robotics, Waste Management","Garching Bei München, Bayern, Germany, Europe",,https://angsa-robotics.com,Angsa Robotics,https://www.crunchbase.com/organization/angsa-robotics,Husqvarna Ventures
Pre Seed Round - Haiqu,https://www.crunchbase.com/funding_round/haiqu-pre-seed--cc99fde6,Pre-Seed,4000000,USD,4000000,2023-06-06,9,1,Haiqu Inc. is a quantum computing software firm focusing on the development.,"Artificial Intelligence, Hardware",,,https://www.haiqu.ai,Haiqu,https://www.crunchbase.com/organization/haiqu,"Alexi Kirilenko, Gordy Holterman, MaC Venture Capital, Paul Holland, Roosh Ventures, SID Venture Partners, Soma Capital, Toyota Ventures, u.ventures"
Seed Round - Truvity,https://www.crunchbase.com/funding_round/truvity-seed--5747475e,Seed,8000000,EUR,8557980,2023-06-06,1,1,"Truvity’s Self-Sovereign Identity toolkit allows you to build your own digital identity ecosystem, tailored to your needs.",,"Amsterdam, Noord-Holland, The Netherlands, Europe",,https://www.truvity.com/,Truvity,https://www.crunchbase.com/organization/truvity,Artek
Seed Round - Mykare Health,https://www.crunchbase.com/funding_round/mykare-health-seed--01d7e1a4,Seed,2000000,USD,2000000,2023-06-15,23,1,"Mykare Health offers surgeries, preventive care, second medical opinion, and telemedicine services.","Health Care, Hospital, Personal Health","Ernakulam, Kerala, India, Asia",,https://mykarehealth.com,Mykare Health,https://www.crunchbase.com/organization/mykare-health,"Ajit Mohan, Ankit Tandon, Arjun Vaidya, ARK Impact, Avaana Capital, Bhavy Shah, Bhavya Shah, Deepu Sebin, Endurance Capital, F Health, Hari T.N, Himanshu Arora, Huddle, Nikhil Jaisinghani, Niraj Karia, Nitish Mittersain, OnDeck ODX - US, Phoenix Angels, Rahul Nagar, Sean Sohn, Stanford Angels and Entrepreneurs India, VeritasX, Vikas Garg"
Seed Round - Karoo Health,https://www.crunchbase.com/funding_round/karoo-health-seed--3d0875d6,Seed,3400000,USD,3400000,2023-06-07,5,2,Karoo Health is a leader in tech-enabled value-based cardiovascular care solutions,"Health Care, Medical","Albuquerque, New Mexico, United States, North America",,https://www.karoohealth.com/,Karoo Health,https://www.crunchbase.com/organization/karoo-health,"First Trust Capital Partners, FirstMile Ventures, Go Global, Inflect Health, Panoramic Ventures"
Pre Seed Round - Uncaged Innovations,https://www.crunchbase.com/funding_round/uncaged-innovations-1782-pre-seed--67b274cf,Pre-Seed,2000000,USD,2000000,2023-06-02,6,2,Uncaged Innovations is a biomaterials company combining the power of nature and technology to reimagine leather.,"Biotechnology, Sustainability, Textiles","Troy, New York, United States, North America",,https://www.uncagedinnovations.com,Uncaged Innovations,https://www.crunchbase.com/organization/uncaged-innovations-1782,"Alwyn Capital, Glass Wall Syndicate, HackCapital, InMotion Ventures, Stray Dog Capital, VegInvest"
Seed Round - Togai,https://www.crunchbase.com/funding_round/togai-seed--64dcb3bb,Seed,3100000,USD,3100000,2023-06-06,4,1,Togai is plug and play usage based pricing infrastructure to meter your product and implement UBP model with minimal engineering effort.,"SaaS, Software","Wilmington, Delaware, United States, North America",,https://www.togai.com,Togai,https://www.crunchbase.com/organization/togai,"BoldCap, Core91 Fund, Prasanna Sankar, Together Fund"
Seed Round - Damroo,https://www.crunchbase.com/funding_round/damroo-seed--2e2b8e1f,Seed,,,,2023-06-06,5,1,Damroo is a music streaming service that values non-film/indie music.,"Audio, Music Streaming, Service Industry","Thane, Maharashtra, India, Asia",,https://damrooplus.com/,Damroo,https://www.crunchbase.com/organization/damroo,"Dr. Kumar Vishwas, Jagadguru Nimbarkacharya, Marwari Catalysts, Ratnawali Singh, Umed Singh Rao"
Seed Round - Yayem,https://www.crunchbase.com/funding_round/yayem-seed--5946a45e,Seed,2000000,USD,2000000,2023-06-15,6,3,Work and play your way,Service Industry,"London, England, United Kingdom, Europe",,https://yayem.co,Yayem,https://www.crunchbase.com/organization/yayem,"Alon Lits, Cleo Sham, Kim Durand, Lyle Adams, Meg Donovan, Rob Khazzam"
Seed Round - OneView,https://www.crunchbase.com/funding_round/oneview-834b-seed--d37c292b,Seed,4000000,USD,4000000,2023-06-07,3,1,OneView revolutionise bill payments by transforming the interaction between consumers and senders.,"Information Technology, Internet, Payments","Singapore, Central Region, Singapore, Asia",,https://oneview.sg,OneView,https://www.crunchbase.com/organization/oneview-834b,"Adera Global, Beyon Connect, Cumulo9"
Seed Round - Fixably,https://www.crunchbase.com/funding_round/fixably-seed--1f62ec51,Seed,10000000,USD,10000000,2023-06-05,4,3,Fixably is a Finland-based SaaS company that helps technicians and repair shops operate better.,"Application Performance Management, Innovation Management, SaaS, Software","Helsinki, Southern Finland, Finland, Europe",,https://fixably.com/,Fixably,https://www.crunchbase.com/organization/fixably,"468 Capital, Business Finland, Cusp Capital, Icebreaker.vc"
Seed Round - Cargofive,https://www.crunchbase.com/funding_round/cargofive-seed--2d5be8f5,Seed,1800000,EUR,1925545,2023-06-06,2,4,"Cargofive empowers freight forwarders by providing solutions to digitize their rate procurement, rate management, and quotation processes.","Information Technology, Logistics, Supply Chain Management","Lisboa, Lisboa, Portugal, Europe",,https://cargofive.com,Cargofive,https://www.crunchbase.com/organization/cargofive,"Lince Capital, Shilling"
Seed Round - 4Trans Factoring,https://www.crunchbase.com/funding_round/4trans-factoring-seed--3ecbc939,Seed,,,,2023-06-14,1,3,"B2B FinTech, Supply Chain Finance, Logistics","Finance, Financial Services, FinTech","Prague, Hlavni mesto Praha, Czech Republic, Europe",,https://en.4trans.cz/,4Trans Factoring,https://www.crunchbase.com/organization/4trans-factoring,Zero Gravity Capital
Seed Round - Avoli,https://www.crunchbase.com/funding_round/avoli-seed--53bcbcd0,Seed,1000000,USD,1000000,2023-06-12,5,1,"Avoli designs volleyball footwear, gear, and equipment exclusively for women and girl athletes.","Fashion, Shoes","Portland, Oregon, United States, North America",,https://www.avoli.com,Avoli,https://www.crunchbase.com/organization/avoli,"Blythe Jack, Ho Nam, James Gau, Peter Saperstone, Shane Stent"
Seed Round - Omnevue,https://www.crunchbase.com/funding_round/omnevue-seed--f00f8467,Seed,2500000,GBP,3153455,2023-06-13,3,1,Omnevue provide affordable and robust ESG performance reporting solutions available to businesses.,"Consulting, Information Technology, Service Industry","London, England, United Kingdom, Europe",,https://www.omnevue.com,Omnevue,https://www.crunchbase.com/organization/omnevue,"Elbow Beach Capital, Pi Labs, Zone2boost"
Seed Round - Wherobots Inc.,https://www.crunchbase.com/funding_round/wherobots-inc-seed--e77e715f,Seed,5500000,USD,5500000,2023-06-13,2,1,Wherobots builds the cloud platform for geospatial data analytics and AI,"Analytics, Artificial Intelligence, Cloud Data Services, Geospatial, Software","Phoenix, Arizona, United States, North America",,https://www.wherobots.ai/,Wherobots Inc.,https://www.crunchbase.com/organization/wherobots-inc,"Clear Ventures, Wing Venture Capital"
Seed Round - Oort Energy,https://www.crunchbase.com/funding_round/oort-energy-seed--9e2851d0,Seed,5000000,GBP,6220971,2023-06-07,2,2,Oort Energy is a maker of hydrogen electrolyzers that uses innovative technologies to significantly reduce the cost of green hydrogen.,"GreenTech, Natural Resources, Renewable Energy","Bristol, Bristol, City of, United Kingdom, Europe",,https://oortenergy.com/,Oort Energy,https://www.crunchbase.com/organization/oort-energy,"Energy Revolution Ventures, TRIREC"
Seed Round - LlamaIndex,https://www.crunchbase.com/funding_round/llamaindex-seed--6345249f,Seed,8500000,USD,8500000,2023-06-06,6,1,"LlamaIndex is a simple, flexible data framework for connecting custom data sources to large language models.",Software,"San Francisco, California, United States, North America",,https://www.llamaindex.ai/,LlamaIndex,https://www.crunchbase.com/organization/llamaindex,"Greylock, Jack Altman, Joey Gonzalez, Lenny Rachitsky, Mathilde Collin, Raquel Urtasun"
Seed Round - Sheerdrive,https://www.crunchbase.com/funding_round/sheerdrive-seed--6a547af1,Seed,,,,2023-06-08,1,1,Sheerdrive is a digital AI/ML pre-owned vehicle platform that tackles all critical factors to run a successfully used vehicle program.,"Information Technology, Software","Mumbai, Maharashtra, India, Asia",,https://www.sheerdrive.in/home,Sheerdrive,https://www.crunchbase.com/organization/sheerdrive,Inflection Point Ventures
Seed Round - WickedGud,https://www.crunchbase.com/funding_round/wickedgud-seed--056b7c97,Seed,20000000,INR,242077,2023-06-07,1,5,"WickedGud is to make eating guilt-free, and change the way the world consumes comfort foods by using indigenous, high nutrition ingredients.","Food and Beverage, Nutrition, Organic Food","Thane, Maharashtra, India, Asia",,https://wickedgud.com/,WickedGud,https://www.crunchbase.com/organization/wickedgud,GetVantage
Seed Round - LoopingOne,https://www.crunchbase.com/funding_round/loopingone-seed--ca72c390,Seed,2000000,EUR,2139495,2023-06-06,1,2,LoopingOne is a payments platform for marketplaces.,Marketplace,"Amsterdam, Noord-Holland, The Netherlands, Europe",,http://www.LoopingOne.com,LoopingOne,https://www.crunchbase.com/organization/loopingone,Ebury
Seed Round - Boulo Solutions,https://www.crunchbase.com/funding_round/boulo-solutions-seed--e0640dd0,Seed,1500000,USD,1500000,2023-06-06,1,2,Boulo finds working mothers jobs and keeps them moving forward.,"Career Planning, EdTech, Employment, Human Resources","Birmingham, Alabama, United States, North America",,https://boulosolutions.com/,Boulo Solutions,https://www.crunchbase.com/organization/boulo-solutions,Naples Technology Ventures
Seed Round - sentra.world,https://www.crunchbase.com/funding_round/sentra-world-seed--0bbca011,Seed,160000000,INR,1939117,2023-06-05,3,1,Sentra.network is a scope 3 solution that tracks supplier emissions and facilitates green sourcing.,"Industrial, SaaS","Bangalore, Karnataka, India, Asia",,https://sentra.world,sentra.world,https://www.crunchbase.com/organization/sentra-world,"Avaana Capital, Golden Sparrow Ventures, RPG Ventures"
Seed Round - Xinta Electronics,https://www.crunchbase.com/funding_round/xinta-electronics-seed--7ad3cf38,Seed,100000000,CNY,14025638,2023-06-07,5,1,Xinta Electronics focuses on supplying third-generation semiconductor power devices and overall application solutions to customers.,"Electrical Distribution, Semiconductor, Solar","Wuhu, Anhui, China, Asia",,http://www.topelectronics.cn/,Xinta Electronics,https://www.crunchbase.com/organization/xinta-electronics,"Caitong Capital, Gongye Yuanqu Investment, He Chuang Zhiyuan, Nanotrend Capital, Wu Xing Investment"
Seed Round - Collectibles.com,https://www.crunchbase.com/funding_round/collectibles-com-seed--37a6a323,Seed,5000000,USD,5000000,2023-06-13,9,2,Collectibles.com is a Web3 community and marketplace for collectors and the worldwide collectibles sector.,Software,,,https://www.collectibles.com,Collectibles.com,https://www.crunchbase.com/organization/collectibles-com,"Adam Jackson, Blockchange Ventures, Blockwall, GFR Fund, Orlando Bloom, Peter Thiel, Sean Cohan, Trevor Traina, Vinny Lingham"
Seed Round - Range Biotechnologies,https://www.crunchbase.com/funding_round/range-biotechnologies-seed--bde37bc0,Seed,5200000,USD,5200000,2023-06-12,7,2,Range Biotechnologies is creating tools to enable personalized health through translational proteomics.,"Biotechnology, Health Care, Life Science","San Carlos, California, United States, North America",,https://www.range.bio,Range Biotechnologies,https://www.crunchbase.com/organization/range-biotechnologies,"Artis Ventures (AV), Civilization Ventures, Four Cities Capital, Hawktail Management, Page One Ventures, Pear VC, Pillar VC"
Seed Round - Advocate,https://www.crunchbase.com/funding_round/advocate-e0f4-seed--9236787c,Seed,4000000,USD,4000000,2023-06-02,2,1,Advocate is a groundbreaking AI driven platform that helps workers and veterans apply for government benefits more simply and easily.,"B2C, Information Technology, Internet, Social Media","New York, New York, United States, North America",,https://ouradvocates.com/,Advocate,https://www.crunchbase.com/organization/advocate-e0f4,"Khosla Ventures, Lerer Hippeau"
Seed Round - 2070 Health,https://www.crunchbase.com/funding_round/2070-health-seed--328933eb,Seed,30000000,USD,30000000,2023-06-07,1,1,2070 Health aims to make high-quality healthcare more accessible and inexpensive.,"Fitness, Health Care, Wellness","Bandra, Maharashtra, India, Asia",,https://2070health.com,2070 Health,https://www.crunchbase.com/organization/2070-health,W Health Ventures
Seed Round - Keeta,https://www.crunchbase.com/funding_round/keeta-seed--1a31c362,Seed,17000000,USD,17000000,2023-06-06,2,1,Keeta is a global payments platform that safely transfers money.,"Finance, Financial Services, Payments","Santa Monica, California, United States, North America",,https://www.keeta.com/,Keeta,https://www.crunchbase.com/organization/keeta,"Eric Schmidt, Steel Perlot"
Seed Round - Ahara,https://www.crunchbase.com/funding_round/ahara-seed--845057a7,Seed,10250000,USD,10250000,2023-06-06,5,1,Ahara offers a nutrition plan that uses data to create a customized diet and supplement plan.,"Health Care, Information Technology, Nutrition","Los Angeles, California, United States, North America",,https://www.ahara.com,Ahara,https://www.crunchbase.com/organization/ahara,"Greycroft, Headline, Samuel Jampolis, Sandy Sholl, Shakti Capital"
Seed Round - Satyukt,https://www.crunchbase.com/funding_round/satyukt-seed--c9fb1c7d,Seed,100000000,INR,1215173,2023-06-13,1,3,Satyukt is an agritech company that provides business to business agricultural data and services.,"Agriculture, Analytics, B2B, Farming","Bengaluru, Karnataka, India, Asia",,http://satyukt.com/,Satyukt,https://www.crunchbase.com/organization/satyukt,Nabventures
Seed Round - Gradient Health,https://www.crunchbase.com/funding_round/gradient-health-inc-seed--fd030bf2,Seed,2750000,USD,2750000,2023-06-20,9,4,Gradient Health partners with medical data providers around the globe to curate pathologies for AI research labs and corporations.,"Health Care, Medical, Wellness","Durham, North Carolina, United States, North America",Less than $1M,https://gradienthealth.io,Gradient Health,https://www.crunchbase.com/organization/gradient-health-inc,"Boro Capital, David Golan, MedMountain Ventures, ReMY Investors & Consultants, Silicon Valley Social Venture Capital, Supernode Ventures, Triangle Tweener Fund, VentureSouth, Wavemaker 360"
