Transaction Name,Transaction Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Number of Investors,Number of Funding Rounds,Organization Description,Organization Industries,Organization Location,Organization Revenue Range,Organization Website,Organization Name,Organization Name URL,Investor Names
Seed Round - Leadoptik,https://www.crunchbase.com/funding_round/leadoptik-seed--505f8576,Seed,5000000,USD,5000000,2023-05-22,7,7,Leadoptik is a deep-tech company specializing in building a miniature imaging platform for image-based early lung cancer diagnosis,"3D Technology, Information Technology, Medical Device, Software","San Jose, California, United States, North America",,https://www.leadoptik.com,Leadoptik,https://www.crunchbase.com/organization/leadoptik,"Arash Ferdowsi, Enea, MetaVC Partners, Ray Muzyka, Sony Innovation Fund, SOSV, TSVC"
Seed Round - Together,https://www.crunchbase.com/funding_round/together-1a7e-seed--5b648f76,Seed,20000000,USD,20000000,2023-05-15,27,1,"A decentralized cloud for artificial intelligence. Together provides APIs to use, fine tune and train large open models.","Internet, Software","Menlo Park, California, United States, North America",,https://www.together.xyz,Together,https://www.crunchbase.com/organization/together-1a7e,"A.Capital Ventures, Alex Atallah, Cadenza Ventures, Chafic Kazoun, Chase Lochmiller, Common Metal, Dave Eisenberg, Dawn Song, Definition, First Round Capital, Jakob Uszkoreit, Jeff Hammerbacher, Jennifer Campbell, Lip-Bu Tan, Long Journey Ventures, Lux Capital, Marc Bhargava, Mary-Catherine Lader, Robot Ventures, Sabrina Hahn, SCB 10X, Scott Banister, Songyee Yoon, Susa Ventures, SVA, Yi Sun, Zach Frankel"
Seed Round - Boombox,https://www.crunchbase.com/funding_round/boombox-599a-seed--871cd8b4,Seed,7000000,USD,7000000,2023-05-23,3,2,"Boombox enables and elevates musicians to produce hipper, more motivational art.","Music, Software","San Francisco, California, United States, North America",,https://boombox.io/,Boombox,https://www.crunchbase.com/organization/boombox-599a,"Forerunner Ventures, super{set}, Ulu Ventures"
Seed Round - Kiwi,https://www.crunchbase.com/funding_round/kiwi-e877-seed--1100653d,Seed,4500000,USD,4500000,2023-05-22,3,4,Kiwi helps Latinos by providing tools and resources to establish credit and secure access to capital.,"Financial Services, FinTech, Lending, Mobile Apps, Personal Finance","San Juan, NA - Puerto Rico, Puerto Rico, North America",,https://www.kiwicredito.com,Kiwi,https://www.crunchbase.com/organization/kiwi-e877,"Advent-Morro Equity Partners, Altio Capital, Independent Capital LLC"
Seed Round - Ballerine,https://www.crunchbase.com/funding_round/ballerine-seed--9676fb19,Seed,5000000,USD,5000000,2023-05-23,3,2,"Open-source platform to customize identity & risk processes throughout the SMB lifecycle (onboarding, transactions, underwriting).","Identity Management, Open Source, Risk Management","Tel Aviv-yafo, Tel Aviv, Israel, Asia",,https://www.ballerine.com,Ballerine,https://www.crunchbase.com/organization/ballerine,"Team8, Vera Equity, Y Combinator"
Pre Seed Round - Plenty,https://www.crunchbase.com/funding_round/plenty-546a-pre-seed--32532e2b,Pre-Seed,2750000,USD,2750000,2023-05-23,10,1,"Plenty is a fintech company that offers a wealth-building platform, investments, financial products, and loans.","Financial Services, FinTech, Funding Platform, Wealth Management","San Francisco, California, United States, North America",,http://www.withplenty.com,Plenty,https://www.crunchbase.com/organization/plenty-546a,"35V, Adam Nash, Brian Pokorny, Charge Ventures, Comma Capital, Inovia Capital, Kevin Durant, Original Capital, Phenomenal Ventures, Xtripe Angels"
Seed Round - Lumeus.ai,https://www.crunchbase.com/funding_round/lumeus-ai-seed--f36543fa,Seed,6000000,USD,6000000,2023-05-18,3,2,Lumeus is an Agentless Zero Trust Networking technology that enables IT and security teams to integrate connectivity.,"Cloud Data Services, Computer, Network Security","San Jose, California, United States, North America",,https://lumeus.ai,Lumeus.ai,https://www.crunchbase.com/organization/lumeus-ai,"Emergent Ventures, First Rays Venture Partners, Tola Capital"
Seed Round - InfoTiles,https://www.crunchbase.com/funding_round/infotiles-seed--5990616c,Seed,,,,2023-05-23,3,3,"InfoTiles provides AI-driven solutions that unlocks water insights, helping cities and utilities be more sustainable","Analytics, Data Integration, SaaS, Smart Cities, Water","Stavanger, Rogaland, Norway, Europe",Less than $1M,https://www.infotiles.no/,InfoTiles,https://www.crunchbase.com/organization/infotiles,"4impact, Lyse Group, ProVenture"
Seed Round - WireMock,https://www.crunchbase.com/funding_round/wiremock-seed--3674fc70,Seed,6500000,USD,6500000,2023-05-24,3,1,"WireMock is an API productivity platform that enables developers to mock APIs for use in unit, integration development, and testing.","Developer APIs, Developer Tools, Quality Assurance, SaaS, Software","Menlo Park, California, United States, North America",,https://wiremock.io/,WireMock,https://www.crunchbase.com/organization/wiremock,"First Rays Venture Partners, Ridge Ventures, Scribble Ventures"
Seed Round - Stride,https://www.crunchbase.com/funding_round/stride-4dbe-seed--dfe3f0c6,Seed,2000000,USD,2000000,2023-05-24,2,1,Stride is an innovative renewable energy firm to advance a sustainable future by providing solar energy and eco-friendly home renovation.,"Renewable Energy, Smart Home, Solar","Ho Chi Minh City, NA - Vietnam, Vietnam, Asia",,https://www.stride.vn/en,Stride,https://www.crunchbase.com/organization/stride-4dbe,"Clime Capital, Touchstone Partners"
Seed Round - Figorr,https://www.crunchbase.com/funding_round/gricd-seed--a615f8d7,Seed,1500000,USD,1500000,2023-05-15,4,9,"Figorr offers internet of things solutions for the last mile delivery of temperature-controlled products such as vaccines, insulin and food.","Information Technology, Internet of Things, Pharmaceutical","Lagos, Lagos, Nigeria, Africa",$1M to $10M,https://www.figorr.com,Figorr,https://www.crunchbase.com/organization/gricd,"Atlantica Ventures, Jaza Rift Ventures, Katapult, VestedWorld"
Seed Round - Semafor,https://www.crunchbase.com/funding_round/semafor-seed--b5e88bdc,Seed,19000000,USD,19000000,2023-05-24,6,2,Global news media company,"Internet, Media and Entertainment, News","New York, New York, United States, North America",,https://www.semafor.com,Semafor,https://www.crunchbase.com/organization/semafor,"Gallup, Henry Kravis, Jamal Daniel, Jerry Yang, Jorge Paulo Lemann, Stand Together Foundation"
Pre Seed Round - AMLYZE,https://www.crunchbase.com/funding_round/amlyze-pre-seed--fdbb5f0f,Pre-Seed,1000000,USD,1000000,2023-05-18,2,1,Automated Transaction Monitoring & Risk Assessment Solutions,"Compliance, Financial Services, Risk Management, Software","Vilnius, Vilniaus Apskritis, Lithuania, Europe",,https://www.amlyze.com/,AMLYZE,https://www.crunchbase.com/organization/amlyze,"FIRSTPICK, Practica Capital"
Seed Round - MEMCYCO,https://www.crunchbase.com/funding_round/memcyco-seed--7a0a2e2e,Seed,10000000,USD,10000000,2023-05-24,2,1,MEMCYCO provides a cybersecurity authenticity platform that protect the company's digital assets and their end-users from phishing attacks,,"Beney Beraq, Tel Aviv, Israel, Asia",,https://www.memcyco.com/,MEMCYCO,https://www.crunchbase.com/organization/memcyco,"Capri Ventures, Venture Guides"
Seed Round - RevenueHero,https://www.crunchbase.com/funding_round/revenuehero-seed--a7587859,Seed,5100000,USD,5100000,2023-05-16,2,1,RevenueHero connects qualified buyers with the right sales reps instantly.,"Enterprise Software, Information Technology, Software","Claymont, Delaware, United States, North America",,https://www.revenuehero.io,RevenueHero,https://www.crunchbase.com/organization/revenuehero,"Stellaris Venture Partners, Together Fund"
Pre Seed Round - Rosarium Health,https://www.crunchbase.com/funding_round/rosarium-health-pre-seed--27634fd7,Pre-Seed,1700000,USD,1700000,2023-05-15,6,1,Rosarium is a platform for service providers with customers to execute accessible house assessments and accessible home modifications.,"Leasing, Real Estate, Service Industry","Denver, Colorado, United States, North America",,https://www.rosariumhealth.com/,Rosarium Health,https://www.crunchbase.com/organization/rosarium-health,"Flare Capital Partners, GroundBreak Ventures, Primetime Partners, Rock Health Capital, Sequential Ventures, Tundra Ventures"
Seed Round - StepChange,https://www.crunchbase.com/funding_round/stepchange-09d4-seed--208d0739,Seed,4000000,USD,4000000,2023-05-23,10,2,"SaaS, ESG, Sustainability",,"Bengaluru, Karnataka, India, Asia",,https://www.stepchange.earth,StepChange,https://www.crunchbase.com/organization/stepchange-09d4,"1947 Rise, Antler, BEENEXT, Genesia Ventures, Global Founders Capital, Saison Capital, Seedstars, Shiva Singh Sangwan, Speciale Invest, Whiteboard Capital"
Seed Round - Workhack,https://www.crunchbase.com/funding_round/workhack-seed--7651317d,Seed,1500000,USD,1500000,2023-05-15,3,1,Workhack is a generative AI platform that allows users to construct their own conversational bots by modifying templates.,"Artificial Intelligence, Gamification, Information Technology, Internet, Natural Language Processing","Lewes, Delaware, United States, North America",,https://workhack.ai,Workhack,https://www.crunchbase.com/organization/workhack,"Nexus Venture Partners, The New Normal Fund, Together Fund"
Seed Round - Gan.ai,https://www.crunchbase.com/funding_round/gan-ai-seed--531d7138,Seed,5250000,USD,5250000,2023-05-23,2,2,"Gan.ai allows brands to generate personalized copies of a single video recording, with variables changed in the voice and lip-sync.","Advertising, Artificial Intelligence, Information Technology, Marketing, SaaS, Video","Perrysburg, Ohio, United States, North America",,https://gan.ai,Gan.ai,https://www.crunchbase.com/organization/gan-ai,"Emergent Ventures, Surge"
Seed Round - Syrup,https://www.crunchbase.com/funding_round/syrup-2579-seed--83c84929,Seed,3300000,USD,3300000,2023-05-23,1,1,Syrup is a product-led email platform built for SaaS.,"SaaS, Service Industry","Chagrin Falls, Ohio, United States, North America",,https://www.syrup.io,Syrup,https://www.crunchbase.com/organization/syrup-2579,High Alpha
Seed Round - Openfort,https://www.crunchbase.com/funding_round/openfort-seed--12fecdb7,Seed,3000000,USD,3000000,2023-05-22,8,2,Openfort provides Web3 gaming studios and gaming platforms with the ability to create an account.,"Blockchain, Online Games, Service Industry, Web Design",,,https://www.openfort.xyz,Openfort,https://www.crunchbase.com/organization/openfort,"Alex Masmej, Arcane Group, Cristian Manea, Game7, gumi Cryptos Capital (gCC), Maven 11 Capital, Newman Capital, NGC Ventures"
Seed Round - G.O.A.T. Fuel,https://www.crunchbase.com/funding_round/g-o-a-t-fuel-seed--0ab8f2c0,Seed,5000000,USD,5000000,2023-05-24,2,4,G.O.A.T. Fuel develops and promotes health-forward products.,"Consumer Goods, Energy, Fitness, Food and Beverage, Personal Health","Plano, Texas, United States, North America",,https://goatfuel.com/,G.O.A.T. Fuel,https://www.crunchbase.com/organization/g-o-a-t-fuel,"Morrison Seger Venture Capital Partners, Stage 1 Fund"
Seed Round - Yuvod,https://www.crunchbase.com/funding_round/yuvod-seed--87fe3943,Seed,4000000,EUR,4307791,2023-05-23,6,2,Yuvod is a comprehensive PaaS with which to offer a personalized and high-quality IPTV/OTT service.,"Apps, B2B, Software, TV, Video","Valencia, Comunidad Valenciana, Spain, Europe",Less than $1M,https://yuvod.com/,Yuvod,https://www.crunchbase.com/organization/yuvod,"Bill Luby, ENISA, Navesink, Palomar Capital, Todd Balestro, Valencia Institute of Finance"
Seed Round - Onyx Private,https://www.crunchbase.com/funding_round/onyx-card-seed--cb2a5d90,Seed,4100000,USD,4100000,2023-05-22,6,2,Onyx is a modern private bank for the new generation,"Banking, Financial Services, FinTech, Payments","Miami, Florida, United States, North America",,https://onyxprivate.com,Onyx Private,https://www.crunchbase.com/organization/onyx-card,"186 Ventures, Global Founders Capital, Olive Tree Capital, One Way Ventures, Village Global, Y Combinator"
Pre Seed Round - TRL11,https://www.crunchbase.com/funding_round/trl11-pre-seed--1005838b,Pre-Seed,3000000,USD,3000000,2023-05-23,6,1,TRL11 is an aviation and aerospace component manufacturing company that provides next-generation technology solutions for the space economy.,"Aerospace, Battery, Manufacturing, Sensor","Los Angeles, California, United States, North America",$1M to $10M,https://www.trl11.com/,TRL11,https://www.crunchbase.com/organization/trl11,"Anorak Ventures, Boost VC, Geek Ventures, Max Haot, Spacecadet Ventures, Wonder Ventures"
Seed Round - smartbax,https://www.crunchbase.com/funding_round/smartbax-seed--595bab71,Seed,1200000,EUR,1292337,2023-05-23,2,2,"smartbax develop novel multi-targeted, antibacterial compounds with extraordinary potency against multi-drug resistant bacteria.","Biotechnology, Genetics","Munich, Bayern, Germany, Europe",,https://www.smartbax.de,smartbax,https://www.crunchbase.com/organization/smartbax,"Boehringer Ingelheim Venture Fund, High-Tech Grunderfonds"
Seed Round - Scarlet Therapeutics,https://www.crunchbase.com/funding_round/scarlet-therapeutics-seed--24d913f0,Seed,,,,2023-05-23,2,1,Scarlet Therapeutics is developing the novel red blood cell-based therapeutics (tRBCs) generation platform.,"Biotechnology, Therapeutics","Bristol, Bristol, City of, United Kingdom, Europe",,https://scarlet-tx.com/,Scarlet Therapeutics,https://www.crunchbase.com/organization/scarlet-therapeutics,"Meltwind Advisory, Science Creates Ventures"
Pre Seed Round - CareerPaths,https://www.crunchbase.com/funding_round/careerpaths-pre-seed--732f3cd6,Pre-Seed,232000,EUR,249531,2023-05-24,1,1,"career mentorship website that links users with skilled industry professionals in Private Equity, Venture Capital, and Investment Banking.","Advice, Career Planning, Internet, Publishing","London, England, United Kingdom, Europe",,https://careerpaths.io,CareerPaths,https://www.crunchbase.com/organization/careerpaths,QVentures
Pre Seed Round - Liceo de Farmacia,https://www.crunchbase.com/funding_round/liceo-de-farmacia-pre-seed--376abafe,Pre-Seed,500000,EUR,540540,2023-05-22,1,1,Liceo de Farmacia is an online platform that provides training and e-learning services for the pharmaceutical sector.,"E-Learning, Education, Pharmaceutical, Training","Seville, Andalucia, Spain, Europe",,https://liceodefarmacia.com/,Liceo de Farmacia,https://www.crunchbase.com/organization/liceo-de-farmacia,Brighteye Ventures
Seed Round - Ulipsu,https://www.crunchbase.com/funding_round/ulipsu-seed--cc24888b,Seed,2975000,USD,2975000,2023-05-24,,4,Ulipsu is the first multi-skill learning platform.,"E-Learning, Trading Platform","Bengaluru, Karnataka, India, Asia",,https://ulipsu.com/,Ulipsu,https://www.crunchbase.com/organization/ulipsu,
Seed Round - Visual Layer,https://www.crunchbase.com/funding_round/visual-layer-seed--c1c9948d,Seed,7000000,USD,7000000,2023-05-16,2,1,Visual Layer is a Tel Aviv based startup providing visual data management platform that scales to billion images and videos.,,"Tel Aviv, Tel Aviv, Israel, Asia",,http://www.visual-layer.com,Visual Layer,https://www.crunchbase.com/organization/visual-layer,"Insight Partners, Madrona"
Pre Seed Round - HaiVE,https://www.crunchbase.com/funding_round/haive-d268-pre-seed--965b8e29,Pre-Seed,1000000,USD,1000000,2023-05-22,1,1,HaiVE is an AI as a service platform that optimises the customer experience for business teams in pre-Sales and product/service support.,"Artificial Intelligence, Customer Service, Software","Singapore, Central Region, Singapore, Asia",,https://haive.tech,HaiVE,https://www.crunchbase.com/organization/haive-d268,Mohan Karuppiah
Seed Round - Nia Health,https://www.crunchbase.com/funding_round/nia-health-seed--f42ffcbf,Seed,3500000,EUR,3805725,2023-05-15,3,1,Innovating Medical Technology,"Health Care, Health Diagnostics, Life Science, Medical Device, Personal Health, Software, Therapeutics","Berlin, Berlin, Germany, Europe",,https://www.nia-medtech.com,Nia Health,https://www.crunchbase.com/organization/nia-health,"adesso ventures, High-Tech Grunderfonds, Ventura BioMed Investors"
Pre Seed Round - Ticket 9,https://www.crunchbase.com/funding_round/ticket-9-pre-seed--cae1f8f4,Pre-Seed,120000,USD,120000,2023-05-24,9,1,"Ticket 9 is an event tech SaaS platform to create, promote, connect, and manage events of any type and size.","Digital Entertainment, Event Management, Events, SaaS, Ticketing","Coimbatore, Tamil Nadu, India, Asia",,https://theticket9.com/,Ticket 9,https://www.crunchbase.com/organization/ticket-9,"Ashok Varadharajan, Jai Kumar, Krishnamani Kannan, Mohan Karuppiah, Prabhu Rangarajan, Selvamuthukumar Balasubramanian, Sudalai Rajkumar, Sundararaman Ramasamy, Vijay Pravin Maharajan"
Seed Round - Hotel Manager,https://www.crunchbase.com/funding_round/hotel-manager-seed--f2f229c7,Seed,2200000,GBP,2746614,2023-05-16,5,4,Hotel Manager offers a full-stack guest experience solution that taps into the possibilities of everyone’s most-loved device.,"Hospitality, Information Technology","London, England, United Kingdom, Europe",,https://hotelmanager.co,Hotel Manager,https://www.crunchbase.com/organization/hotel-manager,"Boost Fund, COREangels Lisbon, Fuel Ventures, Pitchdrive, Startupist Ventures"
Pre Seed Round - Kunda Kids,https://www.crunchbase.com/funding_round/kunda-kids-pre-seed--fdc5cfe3,Pre-Seed,700000,USD,700000,2023-05-23,9,2,"Kunda Kids is a children's publishing and media studio providing diverse children's books, animations, and digital learning resources.",,"London, England, United Kingdom, Europe",,https://kundakids.com/,Kunda Kids,https://www.crunchbase.com/organization/kunda-kids,"Abi Ajayi, Adetayo Bamiduro, Argentil Capital Partners, Benjamin Fernandes, Chiamaka Ezenwa, HoaQ, Kaleo Ventures, Voltron Capital, Zrosk Investment Management"
Seed Round - Sunhat,https://www.crunchbase.com/funding_round/sunhat-seed--a6df6df3,Seed,2000000,EUR,2162162,2023-05-22,4,1,Sunhat is an automation tool that combines software engineering and sustainability expertise to help supply chain businesses.,"Business Information Systems, Consumer Software, Software","Cologne, Nordrhein-Westfalen, Germany, Europe",,https://www.getsunhat.com,Sunhat,https://www.crunchbase.com/organization/sunhat,"Capnamic Ventures, Unifier Ventures, WEPA Ventures, xdeck"
Pre Seed Round - Airstack,https://www.crunchbase.com/funding_round/airstack-pre-seed--1ecc35c2,Pre-Seed,3200000,USD,3200000,2023-05-17,17,2,Airstack is an AI-powered web3 developer platform,"Blockchain, Developer APIs","Miami Beach, Florida, United States, North America",,https://airstack.xyz/,Airstack,https://www.crunchbase.com/organization/airstack,"Allen Day, Artichoke Capital, CoinSwitch, Cypher Capital, David Choi, Eddie Lou, Hashed Emergent, Kyber Ventures, Lecca Ventures, NGC Ventures, Perridon Holdings, Primal Capital, Signum Capital, Superscrypt, UOB Venture, WestWave Capital, WWVentures"
Seed Round - Sort,https://www.crunchbase.com/funding_round/sort-seed--0061b3c2,Seed,3500000,USD,3500000,2023-05-22,8,2,Sort is a web3 platform that provides cryptocurrency information.,,"San Francisco, California, United States, North America",,https://sort.xyz/,Sort,https://www.crunchbase.com/organization/sort,"Alliance DAO, Blizzard Fund, Lemniscap, Orange DAO, Parasol International, Punk DAO, Red Rooster Capital, The General Partnership"
Seed Round - Kuaijin Store,https://www.crunchbase.com/funding_round/kuaijin-store-seed--c0858947,Seed,,,,2023-05-23,1,2,Kuaijin Store is a retail platform focused on digitalization and upgrading of traditional retail stores.,"Digital Marketing, Retail, Retail Technology","Shanghai, Shanghai, China, Asia",,https://www.ikuaijin.com/,Kuaijin Store,https://www.crunchbase.com/organization/kuaijin-store,Challenjers Capital
Pre Seed Round - Twirl,https://www.crunchbase.com/funding_round/twirl-9d5c-pre-seed--24b31883,Pre-Seed,2300000,EUR,2476980,2023-05-23,2,1,Twirl is a platform for data teams that want to ship value rather than tooling.,"Analytics, Cloud Data Services, Machine Learning","Stockholm, Stockholms Lan, Sweden, Europe",,https://twirldata.com/,Twirl,https://www.crunchbase.com/organization/twirl-9d5c,"Cocoa Ventures, Creandum"
Seed Round - Trébol,https://www.crunchbase.com/funding_round/trébol-seed--20dec0ef,Seed,3000000,USD,3000000,2023-05-24,5,2,"Business onboarding automation for banks, lenders, and insurers in Latin America",Financial Services,"Bogotá, Distrito Especial, Colombia, South America",,https://www.gotrebol.com/,Trébol,https://www.crunchbase.com/organization/trébol,"Better Tomorrow Ventures, Canaan Partners, Soma Capital, Unpopular Ventures, Y Combinator"
Pre Seed Round - Cupffee,https://www.crunchbase.com/funding_round/cupffee-pre-seed--76a69597,Pre-Seed,500000,EUR,538473,2023-05-23,1,3,Cupffee creates and sells edible coffee cups and stirrers.,"Coffee, Food and Beverage, Snack Food","Plovdiv, Plovdiv, Bulgaria, Europe",,http://www.cupffee.me,Cupffee,https://www.crunchbase.com/organization/cupffee,Eleven Ventures
Seed Round - Moodles,https://www.crunchbase.com/funding_round/moodles-seed--01440e18,Seed,,,,2023-05-22,5,4,Moodles is a Chinese IT firm that specializes on the food business.,"Food and Beverage, Information Technology","Hangzhou, Zhejiang, China, Asia",,http://fooodlab.com/,Moodles,https://www.crunchbase.com/organization/moodles,"FineWill Capital, Galileo Ventures, GGV Capital, Renchen Semiconductor, Zhu Peiran"
Pre Seed Round - Locorum,https://www.crunchbase.com/funding_round/locorum-pre-seed--953c8a06,Pre-Seed,1240000,USD,1240000,2023-05-21,4,1,"Locorum is a business reward platform that provides cash back when hiring local services such as real estate, renovation, and mortgage.","Ad Retargeting, Loyalty Programs, Shopping","London, Ontario, Canada, North America",$1M to $10M,https://locorum.ca,Locorum,https://www.crunchbase.com/organization/locorum,"Andrew Young, JNF Group, Ontario Centre of Innovation, Rob Fraser"
Pre Seed Round - Zydii,https://www.crunchbase.com/funding_round/zydii-ltd-pre-seed--c9a2b438,Pre-Seed,,,,2023-05-17,4,5,"Zydii is workforce upskilling platform providing accessible, transformative digital training that’s designed for Africa","E-Learning, EdTech, Training","Nairobi, Nairobi Area, Kenya, Africa",,https://zydii.com/,Zydii,https://www.crunchbase.com/organization/zydii-ltd,"DOB Equity, Kaleo Ventures, Kua Ventures, Nairobi Business Angel Network"
Seed Round - Faks,https://www.crunchbase.com/funding_round/faks-seed--413b2664,Seed,5000000,EUR,5418996,2023-05-17,3,3,Faks is a mobile application that provides exchanges between pharmacists and laboratories.,"Digital Marketing, Health Care, Mobile Apps, Pharmaceutical, Software","Paris, Ile-de-France, France, Europe",,https://www.faks.co,Faks,https://www.crunchbase.com/organization/faks,"Cocoa Ventures, Connect Ventures, Seedcamp"
Seed Round - Kreo,https://www.crunchbase.com/funding_round/kreo-8797-seed--17504f7d,Seed,65000000,INR,784162,2023-05-23,5,2,"Kreo is a consumer electronics brand for content creators, gamers and dreamers.","Electronics, Retail","Bengaluru, Karnataka, India, Asia",,https://kreo-tech.com/,Kreo,https://www.crunchbase.com/organization/kreo-8797,"Bala Sarda, Chona Family Office, Nikhil Bhandarkar, Revant Bhate, Sauce.vc"
Seed Round - SkyFi,https://www.crunchbase.com/funding_round/skyfi-87a0-seed--a279a04a,Seed,7000000,USD,7000000,2023-05-23,4,2,SkyFi is a business that is creating a satellite photography app.,"Apps, Photography, Satellite Communication, Video","Austin, Texas, United States, North America",,https://www.skyfi.com,SkyFi,https://www.crunchbase.com/organization/skyfi-87a0,"Balerion Space Ventures, J2 Ventures, Moving Capital, William O. Perkins, III"
Seed Round - Scolioscan,https://www.crunchbase.com/funding_round/scolioscan-seed--c3ea5823,Seed,40000000,HKD,5110492,2023-05-18,3,1,"Scolioscan provides AI 3D ultrasound imaging technology, equipment and solutions.",Information Technology,"New Territories, New Territories, Hong Kong, Asia",,https://www.scolioscan.com/zh-hant/,Scolioscan,https://www.crunchbase.com/organization/scolioscan,"AEF Greater Bay Area Fund, Fosun Pharma, The Hong Kong Polytechnic University"
